Sc(N/M); isFea(E); isOpt(E); sol(E); errCodeLP; isOptNoPre; isAllFixed; nbVar; nbVarValid; nbFixed; UB; LB; dureePre; isMIP; isFea; isOpt; TimLim; MemLim; nbMach; nbNode;  statusCode; sol; tempsTotal; nbConCut1; nbConCut2; nbConCut3
Sc4-5; 1; 1; 619845.00; -1; 0; 0; 98340; 8460; 0; 631066.00; 607697.74; 1.37; 1; 1; 1; -1; -1; 4.83; 105; 1; 619845.00; 8.30; -1; 1380; -1
Sc4-6; 1; 1; 655111.00; -1; 0; 0; 98340; 8820; 0; 666933.00; 612801.10; 1.67; 1; 1; 0; -1; 1; 4.67; 35629; 111; 663879.00; 1153.36; -1; 1383; -1
Sc4-7; 1; 1; 685280.00; -1; 0; 0; 98340; 8100; 120; 686324.00; 673013.37; 1.42; 1; 1; 1; -1; -1; 4.92; 151; 102; 685280.00; 5.54; -1; 1388; -1
Sc4-8; 1; 1; 687150.00; -1; 0; 0; 98340; 8820; 5; 691608.00; 675645.27; 1.37; 1; 1; 1; -1; -1; 4.67; 0; 102; 687150.00; 3.90; -1; 1388; -1
Sc4-9; 1; 1; 524059.00; -1; 0; 0; 98340; 8580; 4774; 524059.00; 523807.00; 0.91; 1; 1; 1; -1; -1; 3.92; 0; 102; 524059.00; 1.54; -1; 1380; -1
Sc4-10; 1; 1; 591784.00; -1; 0; 0; 98340; 9300; 0; 594336.00; 564223.66; 2.84; 1; 1; 1; -1; -1; 4.92; 5551; 102; 591784.00; 63.43; -1; 1385; -1
Sc4-11; 1; 1; 771357.00; -1; 0; 0; 98340; 9060; 0; 774630.00; 752841.73; 1.73; 1; 1; 1; -1; -1; 4.83; 973; 102; 771357.00; 11.15; -1; 1385; -1
Sc4-12; 1; 1; 884930.00; -1; 0; 0; 98340; 9900; 0; 884958.00; 835033.96; 2.56; 1; 1; 1; -1; -1; 4.58; 3859; 102; 884930.00; 22.35; -1; 1392; -1
Sc4-13; 1; 1; 1062748.00; -1; 0; 0; 98340; 10020; 0; 1069568.00; 1003918.15; 3.28; 1; 1; 1; -1; -1; 4.83; 4666; 102; 1062748.00; 44.73; -1; 1380; -1
Sc4-14; 1; 1; 772524.00; -1; 0; 0; 98340; 8940; 0; 779714.00; 722088.07; 1.76; 1; 1; 1; -1; -1; 4.67; 237; 1; 772524.00; 11.17; -1; 1391; -1
Sc4-15; 1; 1; 562608.00; -1; 0; 0; 98340; 7980; 0; 562622.00; 549483.52; 2.25; 1; 1; 1; -1; -1; 4.58; 0; 102; 562608.00; 7.36; -1; 1407; -1
Sc4-16; 1; 1; 824827.00; -1; 0; 0; 98340; 9300; 0; 830473.00; 776504.48; 1.28; 1; 1; 1; -1; -1; 4.00; 608; 102; 824827.00; 14.76; -1; 1383; -1
Sc4-17; 1; 1; 1001072.00; -1; 0; 0; 98340; 9420; 0; 1003591.00; 879446.71; 3.99; 1; 1; 1; -1; -1; 4.83; 5360; 102; 1001072.00; 161.29; -1; 1383; -1
Sc4-18; 1; 1; 717281.00; -1; 0; 0; 98340; 8220; 0; 721179.00; 698418.44; 1.11; 1; 1; 1; -1; -1; 4.67; 1534; 102; 717281.00; 12.99; -1; 1389; -1
Sc4-19; 1; 1; 1262228.00; -1; 0; 0; 98340; 9180; 0; 1265815.00; 1144354.44; 1.58; 1; 1; 1; -1; -1; 3.92; 255; 102; 1262228.00; 11.89; -1; 1395; -1
Sc4-20; 1; 1; 784094.00; -1; 0; 0; 98340; 8940; 2; 786200.00; 766147.33; 2.09; 1; 1; 1; -1; -1; 4.92; 222; 102; 784094.00; 6.57; -1; 1388; -1
Sc5-1; 1; 0; 1132468.00; -1; 0; 0; 133620; 12120; 0; 1195645.00; 1018205.63; 4.96; 1; 1; 0; 1; -1; 4.92; 12973; 11; 1114805.00; 1805.31; -1; 1875; -1
Sc5-2; 1; 0; 966248.00; -1; 0; 0; 133620; 11880; 0; 982256.00; 927186.49; 10.95; 1; 1; 0; 1; -1; 4.92; 31706; 11; 966248.00; 1811.37; -1; 1876; -1
Sc5-3; 1; 0; 668945.00; -1; 0; 0; 133620; 11280; 0; 680206.00; 611705.30; 6.02; 1; 1; 0; -1; 1; 4.58; 15583; 111; 673963.00; 1621.75; -1; 1904; -1
Sc5-4; 1; 1; 935106.00; -1; 0; 0; 133620; 10560; 0; 948898.00; 906417.61; 0.95; 1; 1; 1; -1; -1; 4.92; 3005; 102; 935106.00; 96.06; -1; 1890; -1
Sc5-5; 1; 1; 889899.00; -1; 0; 0; 133620; 11880; 0; 904102.00; 873711.48; 0.95; 1; 1; 1; -1; -1; 4.83; 16634; 102; 889899.00; 90.14; -1; 1880; -1
Sc5-6; 1; 0; 860439.00; -1; 0; 0; 133620; 12240; 0; 884974.00; 735902.06; 3.96; 1; 1; 0; 1; -1; 4.75; 6667; 11; 860977.00; 1804.35; -1; 1877; -1
Sc5-7; 1; 0; 754649.00; -1; 0; 0; 133620; 10920; 0; 776546.00; 702617.20; 4.03; 1; 1; 0; -1; 1; 5.00; 16926; 111; 770554.00; 1023.21; -1; 1904; -1
Sc5-8; 1; 1; 1114549.00; -1; 0; 0; 133620; 11640; 0; 1120825.00; 1053045.16; 6.66; 1; 1; 1; -1; -1; 4.83; 12266; 102; 1114549.00; 574.81; -1; 1884; -1
Sc5-9; 1; 0; 1277871.00; -1; 0; 0; 133620; 11400; 0; 1336935.00; 1081546.73; 3.81; 1; 1; 0; 1; -1; 4.33; 17969; 11; 1238689.00; 1804.20; -1; 1894; -1
Sc5-10; 1; 1; 774366.00; -1; 0; 0; 133620; 11040; 0; 780493.00; 734854.32; 4.54; 1; 1; 1; -1; -1; 5.00; 80423; 102; 774366.00; 1510.57; -1; 1890; -1
Sc5-11; 1; 1; 1315218.00; -1; 0; 0; 133620; 11640; 0; 1360047.00; 1232157.71; 1.61; 1; 1; 0; -1; 1; 5.00; 22032; 111; 1326215.00; 1544.34; -1; 1877; -1
Sc5-12; 1; 1; 915068.00; -1; 0; 0; 133620; 10320; 0; 924495.00; 885316.91; 1.33; 1; 1; 1; -1; -1; 4.75; 10887; 102; 915068.00; 372.56; -1; 1916; -1
Sc5-13; 1; 1; 969380.00; -1; 0; 0; 133620; 11760; 0; 977110.00; 944838.90; 1.53; 1; 1; 1; -1; -1; 4.83; 3057; 102; 969380.00; 76.49; -1; 1880; -1
Sc5-14; 1; 1; 1113345.00; -1; 0; 0; 133620; 11280; 0; 1198215.00; 1014397.69; 2.50; 1; 1; 1; -1; -1; 5.00; 16183; 102; 1113345.00; 1572.28; -1; 1878; -1
Sc5-15; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-16; 1; 1; 911205.00; -1; 0; 0; 133620; 12240; 0; 919921.00; 866573.45; 2.31; 1; 1; 1; -1; -1; 4.58; 47976; 102; 911205.00; 411.26; -1; 1895; -1
Sc5-17; 1; 0; 973821.00; -1; 0; 0; 133620; 12240; 0; 1007468.00; 915456.66; 4.71; 1; 1; 0; 1; -1; 5.00; 34425; 11; 973821.00; 1805.09; -1; 1875; -1
Sc5-18; 1; 1; 914947.00; -1; 0; 0; 133620; 12240; 0; 925217.00; 853012.61; 2.01; 1; 1; 1; -1; -1; 4.75; 2980; 102; 914947.00; 264.26; -1; 1881; -1
Sc5-19; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc5-20; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-2; 1; 0; 1199804.00; -1; 0; 0; 250632; 19980; 0; 1207292.00; 1110421.96; 6.08; 1; 1; 0; -1; 1; 5.25; 26241; 111; 1197502.00; 962.15; -1; 3527; -1
Sc6-3; 1; 0; 1414465.00; -1; 0; 0; 250632; 20340; 0; 1414465.00; 1306329.61; 6.82; 1; 1; 0; -1; 1; 4.92; 15055; 111; 1414465.00; 1433.41; -1; 3276; -1
Sc6-4; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc6-5; 1; 0; 1088482.00; -1; 0; 0; 250632; 20520; 0; 1136015.00; 1016071.64; 7.57; 1; 1; 0; 1; -1; 6.00; 11779; 11; 1104558.00; 1808.24; -1; 3549; -1
Sc6-6; 1; 1; 1305201.00; -1; 0; 0; 250632; 18900; 0; 1309111.00; 1220988.05; 7.25; 1; 1; 1; -1; -1; 5.83; 8788; 102; 1305201.00; 150.16; -1; 3533; -1
Sc6-7; 1; 0; 1001618.00; -1; 0; 0; 250632; 19620; 0; 1027635.00; 918083.79; 4.15; 1; 1; 0; 1; -1; 5.75; 12872; 11; 1002824.00; 1804.83; -1; 3538; -1
Sc6-8; 1; 0; 1230350.00; -1; 0; 0; 250632; 20340; 0; 1230350.00; 1106959.87; 11.19; 1; 1; 0; 1; -1; 5.83; 22299; 11; 1218151.00; 1811.87; -1; 3549; -1
Sc6-9; 1; 0; 1741370.00; -1; 0; 0; 250632; 20340; 0; 1798854.00; 1470991.88; 8.69; 1; 1; 0; -1; 1; 5.67; 11085; 111; 1768550.00; 1677.30; -1; 3556; -1
Sc6-10; 1; 0; 1277540.00; -1; 0; 0; 250632; 19080; 67; 1302893.00; 1149583.64; 3.87; 1; 1; 0; 1; -1; 6.00; 22228; 11; 1274827.00; 1804.56; -1; 3530; -1
Sc6-11; 1; 1; 1442880.00; -1; 0; 0; 250632; 19440; 0; 1465775.00; 1388685.23; 4.95; 1; 1; 1; -1; -1; 6.00; 12221; 102; 1442880.00; 347.48; -1; 3558; -1
Sc6-12; 1; 1; 1201386.00; -1; 0; 0; 250632; 18720; 105; 1218077.00; 1137376.29; 4.88; 1; 1; 1; -1; -1; 5.42; 30776; 102; 1201386.00; 335.38; -1; 3545; -1
Sc6-13; 1; 0; 1682671.00; -1; 0; 0; 250632; 20880; 0; 1711414.00; 1555336.11; 12.37; 1; 1; 0; 1; -1; 5.75; 20836; 11; 1683507.00; 1813.08; -1; 3072; -1
Sc6-14; 1; 0; 1100191.00; -1; 0; 0; 250632; 21600; 0; 1106052.00; 1006317.15; 14.01; 1; 1; 0; -1; 1; 5.92; 9962; 111; 1091121.00; 1058.63; -1; 3554; -1
Sc6-15; 1; 0; 1282060.00; -1; 0; 0; 250632; 20880; 0; 1288441.00; 1124327.74; 8.97; 1; 1; 0; 1; -1; 5.67; 14933; 11; 1282074.00; 1809.68; -1; 3527; -1
Sc6-16; 1; 1; 1510037.00; -1; 0; 0; 250632; 20880; 0; 1591547.00; 1419220.74; 5.26; 1; 1; 1; -1; -1; 5.92; 12724; 102; 1510037.00; 1380.93; -1; 3531; -1
Sc6-17; 1; 0; 1388662.00; -1; 0; 0; 250632; 19800; 0; 1403275.00; 1275283.61; 3.03; 1; 1; 0; -1; 1; 4.92; 10249; 111; 1398364.00; 1322.85; -1; 3537; -1
Sc6-18; 1; 1; 1102621.00; -1; 0; 0; 250632; 18720; 0; 1108512.00; 1009454.56; 10.76; 1; 1; 1; -1; -1; 5.92; 4665; 102; 1102621.00; 261.05; -1; 3529; -1
Sc6-19; 1; 0; 1539387.00; -1; 0; 0; 250632; 20160; 0; 1539759.00; 1396275.77; 4.48; 1; 1; 0; -1; 1; 6.00; 20315; 111; 1539387.00; 1687.33; -1; 3156; -1
Sc6-20; 1; 1; 1439883.00; -1; 0; 0; 250632; 20880; 0; 1458148.00; 1377797.21; 7.60; 1; 1; 1; -1; -1; 5.67; 5201; 102; 1439883.00; 104.61; -1; 3559; -1
Sc7-1; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc7-2; 1; 0; 1700032.00; -1; 0; 0; 316944; 24156; 0; 1892809.00; 1424663.22; 34.87; 1; 1; 0; 1; -1; 5.83; 7950; 11; 1697160.00; 1835.62; -1; 3876; -1
Sc7-3; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc7-4; 0; 0; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *; *
Sc7-5; 1; 0; 1559361.00; -1; 0; 0; 316944; 23976; 0; 1559361.00; 1239912.92; 4.17; 1; 1; 0; 1; -1; 5.00; 4776; 11; 1546420.00; 1804.98; -1; 4472; -1
Sc7-6; 1; 0; 1046663.00; -1; 0; 0; 316944; 23796; 0; 1067777.00; 991382.35; 5.27; 1; 1; 0; 1; -1; 5.83; 8848; 11; 1047026.00; 1806.09; -1; 4452; -1
Sc7-7; 1; 0; 1543466.00; -1; 0; 0; 316944; 25056; 0; 1714653.00; 1334997.44; 14.49; 1; 1; 0; 1; -1; 5.83; 5747; 11; 1553779.00; 1815.33; -1; 4525; -1
Sc7-8; 1; 0; 1267976.00; -1; 0; 0; 316944; 24696; 0; 1455646.00; 1146858.78; 11.31; 1; 1; 0; 1; -1; 5.92; 14422; 11; 1296253.00; 1812.13; -1; 4468; -1
Sc7-9; 1; 0; 1428340.00; -1; 0; 0; 316944; 24516; 0; 1450936.00; 1341837.74; 12.15; 1; 1; 0; 1; -1; 5.92; 7701; 11; 1446697.00; 1812.94; -1; 4506; -1
