Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc5-10; 1; 0; 774366.00; 1800.37; 5; 0; 1; 1;  781715.00; 400.36; 5
Sc5-11; 1; 0; 1346835.00; 1575.54; 4; 1; 0; 1;  1362059.00; 400.39; 5
Sc5-12; 1; 0; 916323.00; 1800.45; 4; 0; 1; 1;  926350.00; 126.97; 4
Sc5-13; 1; 1; 969380.00; 255.60; 4; 0; 0; 1;  977629.00; 33.34; 4
Sc5-14; 1; 0; 1187449.00; 1800.39; 4; 0; 1; 1;  1225880.00; 400.39; 5
Sc5-15; 0; 0; 9999999.00; 2.12; -1; 0; 0; 0;  9999999.00; 2.07; -1
Sc5-16; 1; 1; 911205.00; 871.46; 4; 0; 0; 1;  916584.00; 35.75; 4
Sc5-17; 1; 0; 976100.00; 1800.46; 5; 0; 1; 1;  980064.00; 400.41; 5
Sc5-18; 1; 1; 914947.00; 1408.81; 4; 0; 0; 1;  951152.00; 400.38; 4
Sc5-19; 0; 0; 9999999.00; 1.68; -1; 0; 0; 0;  9999999.00; 1.68; -1
Sc5-20; 0; 0; 9999999.00; 1.92; -1; 0; 0; 0;  9999999.00; 1.92; -1
Sc6-1; 0; 0; 9999999.00; 2.06; -1; 0; 0; 0;  9999999.00; 2.08; -1
Sc6-2; 1; 0; 1204507.00; 1820.14; 5; 0; 1; 1;  1213460.00; 400.72; 5
Sc6-3; 1; 0; 1439258.00; 1800.80; 4; 0; 1; 1;  1453210.00; 400.81; 5
Sc6-4; 0; 0; 9999999.00; 18.25; -1; 0; 0; 0;  9999999.00; 12.36; -1
Sc6-5; 1; 0; 1141694.00; 1800.81; 5; 0; 1; 1;  1161665.00; 400.89; 5
Sc6-6; 1; 1; 1305215.00; 416.18; 5; 0; 0; 1;  1317324.00; 103.71; 6
