Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); isFea(H1); sol(H1); time(H1); isFea(H2); sol(H2); time(H2); isOptNoPre; isAllFixed; LB; UB; nbBool; nbFixed; nbBoolX; nbFixedX
Sc7-10; 1; 0; 1571754.00; 1800.49; 0; 955466.00; 0.00; 1; 780493.00; 200.21; 0; 0; 731936.99; 780493.00; 133620; 0; 1260; 0
Sc7-11; 1; 0; 1856018.00; 1458.07; 0; 1358627.00; 0.00; 1; 1465775.00; 50.17; 0; 0; 1385966.39; 1465775.00; 250632; 0; 1728; 0
Sc7-12; 1; 0; 1152633.00; 1800.53; 0; 1159446.00; 0.00; 1; 1218077.00; 21.90; 0; 0; 1134862.44; 1218077.00; 250632; 105; 1728; 15
Sc7-13; 1; 1; 1227285.00; 947.95; 0; 1395668.00; 0.00; 1; 1242888.00; 37.10; 0; 0; 1167787.05; 1242888.00; 316944; 0; 1944; 0
Sc7-14; 1; 0; 1972337.00; 1800.49; 0; 1193644.00; 0.00; 1; 1198215.00; 200.23; 0; 0; 1013810.44; 1198215.00; 133620; 0; 1260; 0
Sc7-15; 1; 0; 1542435.00; 1800.45; 1; 768570.00; 0.00; 1; 562622.00; 1.95; 0; 0; 548782.13; 562622.00; 98340; 0; 1080; 0
Sc7-16; 1; 0; 1526225.00; 1800.54; 0; 1275224.00; 0.00; 1; 1591547.00; 200.43; 0; 0; 1416307.51; 1591547.00; 250632; 0; 1728; 0
Sc7-17; 1; 0; 1220383.00; 1800.62; 0; 1069715.00; 0.00; 1; 1003591.00; 69.53; 0; 0; 875317.36; 1003591.00; 98340; 0; 1080; 0
Sc7-18; 1; 0; 1160069.00; 1800.54; 0; 1094299.00; 0.00; 1; 1108512.00; 66.02; 0; 0; 1006487.01; 1108512.00; 250632; 0; 1728; 0
Sc7-19; 1; 0; 1240038.00; 1800.51; 0; 1262299.00; 0.00; 1; 1265815.00; 7.85; 0; 0; 1142630.32; 1265815.00; 98340; 0; 1080; 0
Sc7-20; 0; 0; 9999999.00; 1.28; 0; 1660322.00; 0.00; 1; 1458148.00; 143.57; 0; 0; 1376729.40; 1458148.00; 250632; 0; 1728; 0
Sc8-1; 0; 0; 9999999.00; 1801.13; 0; 876937.00; 0.00; 1; 784991.00; 18.43; 0; 0; 725206.20; 784991.00; 98340; 0; 1080; 0
Sc8-2; 1; 0; 1551279.00; 1801.15; 0; 927543.00; 0.00; 1; 862141.00; 200.21; 0; 0; 780119.40; 862141.00; 98340; 0; 1080; 0
Sc8-3; 1; 0; 2152322.00; 1801.13; 1; 1189756.00; 0.00; 1; 980050.00; 23.26; 0; 0; 858188.73; 980050.00; 98340; 0; 1080; 0
Sc8-4; 1; 0; 1576540.00; 1801.15; 1; 1255938.00; 0.00; 1; 948898.00; 23.04; 0; 0; 906417.61; 948898.00; 133620; 0; 1260; 0
Sc8-5; 1; 0; 1834425.00; 1801.17; 1; 1221005.00; 0.00; 1; 904102.00; 10.72; 0; 0; 873711.48; 904102.00; 133620; 0; 1260; 0
Sc8-6; 1; 0; 1900940.00; 1801.21; 0; 1139225.00; 0.00; 1; 1309111.00; 34.90; 0; 0; 1218469.50; 1309111.00; 250632; 0; 1728; 0
Sc8-7; 1; 0; 1583220.00; 1801.16; 1; 933111.00; 0.00; 1; 686324.00; 1.25; 0; 0; 672706.43; 686324.00; 98340; 120; 1080; 24
Sc8-8; 0; 0; 9999999.00; 6.38; 1; 1450155.00; 0.00; 1; 1120825.00; 39.55; 0; 0; 1034858.53; 1120825.00; 133620; 0; 1260; 0
Sc8-9; 1; 0; 1332245.00; 1801.19; 1; 696624.00; 0.00; 1; 524059.00; 0.87; 0; 0; 523806.15; 524059.00; 98340; 4774; 1080; 638
Sc8-10; 1; 0; 1989953.00; 1801.13; 0; 955466.00; 0.00; 1; 780493.00; 200.21; 0; 0; 731936.99; 780493.00; 133620; 0; 1260; 0
Sc8-11; 1; 0; 1935227.00; 1801.10; 0; 1358627.00; 0.00; 1; 1465775.00; 50.17; 0; 0; 1385966.39; 1465775.00; 250632; 0; 1728; 0
Sc8-12; 1; 0; 1614851.00; 1801.18; 0; 1159446.00; 0.00; 1; 1218077.00; 21.90; 0; 0; 1134862.44; 1218077.00; 250632; 105; 1728; 15
Sc8-13; 1; 0; 1838012.00; 1801.16; 0; 1395668.00; 0.00; 1; 1242888.00; 37.10; 0; 0; 1167787.05; 1242888.00; 316944; 0; 1944; 0
Sc8-14; 1; 0; 1584592.00; 1801.15; 0; 1193644.00; 0.00; 1; 1198215.00; 200.23; 0; 0; 1013810.44; 1198215.00; 133620; 0; 1260; 0
Sc8-15; 1; 0; 2055045.00; 1801.13; 1; 768570.00; 0.00; 1; 562622.00; 1.95; 0; 0; 548782.13; 562622.00; 98340; 0; 1080; 0
Sc8-16; 1; 0; 1671465.00; 1801.13; 0; 1275224.00; 0.00; 1; 1591547.00; 200.43; 0; 0; 1416307.51; 1591547.00; 250632; 0; 1728; 0
Sc8-17; 0; 0; 9999999.00; 195.67; 0; 1069715.00; 0.00; 1; 1003591.00; 69.53; 0; 0; 875317.36; 1003591.00; 98340; 0; 1080; 0
Sc8-18; 1; 0; 1415278.00; 1801.15; 0; 1094299.00; 0.00; 1; 1108512.00; 66.02; 0; 0; 1006487.01; 1108512.00; 250632; 0; 1728; 0
